1.8,106.24
1.81,106.24
1.8442558217,102.7834801949
1.9782140704,89.4353951313
2.1024885904,80.317799437
2.2429026584,76.8659025573
2.3397399466,66.8932334478
2.4089382588,54.0715589054
2.4640144665,52.4525964302
2.5142263938,38.2073737767
2.5939378283,28.8755114954
2.6880851919,21.3653917746
2.8142426591,18.7441744322
2.938517179,19.6309778634
3.062791699,25.0104038911
3.1870662189,24.3654040556
3.305691897,21.0877402432
3.367829157,15.8610612758
3.4073710497,12.5683336382
3.4525617842,9.4811296359
3.4900495526,6.2937169044
3.5146990442,4.6913314038
3.527252026,3.7774834742
3.585874451,2.9165297285
3.6333247223,2.170540757
3.6785154568,1.8211972179
3.693579035,1.2856868946
3.7356315241,0.8196726008
3.8178535549,0.601849328
3.8705760785,0.4567415674
3.9038414803,0.3469391847
3.9666063894,0.2650275781
4.0733067348,0.2030890711
4.1699646947,0.159229255
4.2942392147,0.1326151837
4.3959183673,0.1157746123
4.5879789891,0.1051426076
4.7913372944,0.1051426076
4.9890467579,0.1051426076
5.1980539051,0.1051426076
5.3957633686,0.1051426076
5.5934728322,0.1051426076
5.7968311375,0.1051426076
6.0001894429,0.1051426076
6.1922500646,0.1051426076
6.3956083699,0.1051426076
6.5876689916,0.1051426076
6.791027297,0.1051426076
6.9943856023,0.1051426076
7.1920950659,0.1051426076
7.3954533712,0.1051426076
7.5988116766,0.1051426076
7.7965211401,0.1051426076
7.9998794454,0.1051426076
