1.8,3.157
1.81,3.157
1.8539395505,3.2620026756
1.9782140704,3.3821718047
2.1024885904,3.3248833663
2.2267631103,3.071133721
2.3510376302,2.6123662833
2.4606251615,2.1142985133
2.5769913029,1.7406753868
2.6609169527,1.4599674106
2.7690519246,1.2569431113
2.8933264445,1.0173994519
3.0166594908,0.7978208763
3.111748328,0.6164378212
3.1996192007,0.508327836
3.2749370916,0.3884428054
3.3552761752,0.3091098219
3.430479948,0.2443095964
3.5109331496,0.1992593443
3.592841356,0.1540999987
3.6816537023,0.1144416314
3.7406527168,0.1074929856
4.4542897328,0.1189834267
4.5606762536,0.157835297
4.6444674072,0.2200213835
4.7348488763,0.2826326691
4.8539090807,0.2454453463
4.9551537071,0.1904653048
5.0639880594,0.1382024781
5.1711132749,0.1220122478
5.2545423233,0.1765413428
5.3399025996,0.2502454956
5.3909835794,0.362932116
5.4240075777,0.5358960133
5.4679430141,0.7056094474
5.5087402049,0.9263918675
5.6047705158,1.3038523123
5.7243376676,1.6487346329
5.8514366084,1.5429313941
5.9424457265,1.1833958332
5.9945406011,0.9253683998
6.0443531152,0.7246927782
6.0905709119,0.601849328
6.118815121,0.4630963964
6.138989556,0.3221218196
6.1834629773,0.2484081317
6.1990286748,0.1783412332
6.2430896409,0.1388021205
6.2826315336,0.1120768893
6.5,0.1
7,0.1
7.3,0.1
7.6,0.1
8,0.1
